county_name,state_name
Miller County,Arkansas
Miller County,Georgia
Vermillion County,Indiana
Mills County,Iowa
Mille Lacs County,Minnesota
Miller County,Missouri
Roger Mills County,Oklahoma
Mills County,Texas
Millard County,Utah
